uri,artis_judulLagu,Label
5D9G1Q7oB7YKYMEWKSG71a,Senar Senja - Savana,berseru memacu mimpi dikala mentari hangatkan memori semesta bernyanyi seraya memberi warna indahnya savana hangatkan sang surya ... senarsenja indonesianfolk indonesianindi
1cY1no6J4Xp6KCR198gWHQ,Sisir Tanah - Lagu Pejalan,"siapakah kita ini, manusia yang dalam diam, riuh, ragu, dan tak mampu ada rahasia, tidak rahasia ada di sini ada di situ diseret-seret waktu kita berjalan saja masih, teru berjalan meskipun kita tak tau b'rapa jauh, jalan ini nanti dan kita tak juga rela tunduk pada jarak dan kita tak juga rela tunduk pada jarak ... sisirtanah indonesianfolk indonesianfolkpop indonesianindi"
6ZQ5UsO10FVsglHGssVMCR,Ungu - Aku Bukan Pilihan Hatimu,"jika memang diriku bukanlah menjadi pilihan hatimu mungkin sudah takdirnya kau dan aku takkan mesti bersatu haru s'lalu kau tahu ku mencintamu di sepanjang waktuku haru s'lalu kau tahu semua abadi untuk s'lamanya karena ku yakin, cinta dalam hatiku ... ungu dangdut indonesianpop indonesianpoprock"
6C99NV10V8b7nxiWQrwP91,Ungu - Karena Dia Kamu,saat aku bertemu dengan dirinya tak terasa hatiku kian terbawa merona merah jadinya karena tatap matanya setiap aku melihat dirinya ingin rasa hatiku memilikinya sungguh aku ingin dapat memilikinya karena dia cantik karena dia indah karena dia kamu ... ungu dangdut indonesianpop indonesianpoprock
1V1hSmSVjmBqdR46EVVt5y,Peterpan - Aku & Bintang,lihat ke langit lua dan semua musim teru berganti tetap bermain awan merangkai mimpi dengan khayalku selalu bermimpi dengan hariku dan pernah kau lihat bintang bersinar putih penuh harapan tangan halusnya terbuka coba temani dekati aku selalu terangi gelap malamku dan rasakan semua bintang memanggil tawamu terbang ke ata ... peterpan dangdutkoplo indonesianpop indonesianpoprock
1cFBgqTjNkdwLO5bcPhjyI,Peterpan - Khayalan Tingkat Tinggi,awal ku melihat ku yakin ini bukanlah yang biasa mengagumkan melemahkan aku melihat tatap matanya gari tawanya waktu berhenti apabila ku memandangnya mengagumkan melemahkan aku melihat tatap matanya khayalan ini setinggi-tingginya ... peterpan dangdutkoplo indonesianpop indonesianpoprock
0VRKswWFQXVor9u7SxfA3U,Peterpan - Di Belakangku,kau peluk aku sebelum membunuhku tersenyum melihatku merenung melihatmu kau menungguku menunggu kuterjatuh setiap langkah tertuju setia dalam renungku aku menunggumu menunggumu menunggumu mati di depanku di depanku di depanku ho-oo ... peterpan dangdutkoplo indonesianpop indonesianpoprock
2b2RrYgs4ctH2QkJfGa9WO,Peterpan - 2 DSD,ku menatap langit yang tenang dan takkan menangisi malam tuk tetap berdiri ku melawan hari ku akan berarti ku takkan mati mungkin masaku tlah berlalu mungkin hatiku tak berbentuk lagi rasa ini takkan terobati tetapi mati takkan mengobati ... peterpan dangdutkoplo indonesianpop indonesianpoprock
1VkxqkCSt1F3BWAJHDvO0L,Peterpan - Jauh Mimpiku,pernah kusimpan jauh rasa ini berdua jalani cerita kau ciptakan mimpiku jujur ku hanya sesalkan diriku kau tinggalkan mimpiku namun ku hanya sesalkan diriku ah ... peterpan dangdutkoplo indonesianpop indonesianpoprock
1Aj0Y4is1R8cTlFRN4W9Jo,Peterpan - Sally Sendiri,"biar salli mencariku biarkan dia terbang jauh dalam hatinya hanya satu jauh hatinya hanya 'ku katakan 'ku takkan datang pastikan 'ku takkan kembali lalu biarkan dia menangi lalu biarkan dia pergi sally, kau selalu sendiri sampai kapan pun sendiri hingga kau lelah menanti hingga kau lelah menangi sally, kau selalu sendiri ... peterpan dangdutkoplo indonesianpop indonesianpoprock"
3roANDwlWHrtoRFjn809K3,Sheila On 7 - Bila Kau Tak Disampingku,"tak seharusnya kita terpisah tak semestinya kita bertengkar karena diriku masih butuh kau maafkanlah sikapku, lupakanlah salahku itu terlalu bodoh untuk diriku menahan berat jutaan rindu apalagi menahan egoku maafkanlah sikapku, lupakanlah salahku luapkan kepadaku, wo-oo-ho takkan kubiarkan kau menangi takkan kubiarkan kau terkiki ... sheilaon7 indonesianalternativerock indonesianpop"
1BaGfrlIWinaF77p7QASBH,Sheila On 7 - Seberapa Pantas,"seberapa pantaskah kau untuk kutunggu? cukup indahkah dirimu untuk s'lalu kunantikan? mampukah kau hadir dalam setiap mimpi burukku? mampukah kita bertahan di saat kita jauh? seberapa hebatkah untuk kubanggakan? cukup tangguhkah dirimu untuk s'lalu kuandalkan? mampukah kau bertahan dengan hidupku yang malang? sanggupkah kau meyakinkan di saat aku bimbang? celakanya, hanya kaulah yang benar-benar aku tunggu hanya kaulah yang benar-benar memahamiku kau pergi dan hilang, ke mana pun kau suka celakanya, hanya kaulah yang panta untuk kubanggakan hanya kaulah yang sanggup untuk aku andalkan ... sheilaon7 indonesianalternativerock indonesianpop"
7Hun5YHQ5TEe9j97cU5XPg,Sheila On 7 - Melompat Lebih Tinggi,"kita berlari dan teru 'kan bernyanyi kita buka lebar pelukan mentari bila ku terjatuh nanti kau siap mengangkat aku lebih tinggi uh, uh, uh seperti pedih yang telah kita bagi layaknya luka yang telah terobati bila kita jatuh nanti kita siap 'tuk melompat lebih tinggi bersama kita bagai hutan dan hujan aku ada kar'na kau telah tercipta, ha-ah ... sheilaon7 indonesianalternativerock indonesianpop"
0MuoB1kwBnXzA0b6eOggDY,Sheila On 7 - J.A.P,lelap haru di taman bia makna yang terpendam ala tonggak harapan belai indah matamu teman mimpi tanpa jemu biar terkadang semu untaian bunga canda tempat kau lepaskan tawa tenang hati terbaca kini tiba waktuku untuk puitiskan sayang untuk katakan cinta jadikanlah aku pacarmu 'kan kubingkai selalu indahmu ... sheilaon7 indonesianalternativerock indonesianpop
5h5w6RwapmmwGn4vAyHvU7,Sheila On 7 - Itu Aku,ribuan hari aku menunggumu jutaan lagu tercipta untukmu apakah kau akan teru begini? masih adakah celah di hatimu yang masih bisa aku 'tuk singgahi? cobalah aku kapan engkau mau tahukah lagu yang kau suka? tahukah bintang yang kau sapa? tahukah rumah yang kau tuju? itu aku tahukah lagu yang kau suka? tahukah bintang yang kau sapa? tahukah rumah yang kau tuju? itu aku coba keluar di malam badai nyanyikan lagu yang kau suka maka kesejukan yang kau rasa (ah-ah-ah) ... sheilaon7 indonesianalternativerock indonesianpop
6WUqv9T3RPTHHNKw0zVJuM,Sheila On 7 - Sahabat Sejati,sahabat sejatiku hilangkah dari ingatanmu di hari kita sale berbagi dengan kotak sejuta mimpi aku datang menghampirimu kuperlihatkan semua hartaku kita s'lalu berpendapat kita ini yang terhebat kesombongan di masa muda yang indah aku raja kaupun raja aku hitam kaupun hitam ... sheilaon7 indonesianalternativerock indonesianpop
0qCo57HWUXdaKujqjc4eGT,Repvblik Band - Selimut Tetangga,"bersabarlah, sayang, aku akan pulang jangan dengarkan gosip murahan tentang aku berjanjilah, sayang, 'tuk s'lalu setia meski ku tak s'lalu di sampingmu tak usah menangis, meratapi aku tak perlu kau berfikir ku meninggalkanmu mana mungkin selimut tetangga hangati tubuhku dalam kedinginan malam-malam panjang, setiap tidurku s'lalu kesepian ... repvblikband indonesianpoprock"
4Al8bqf4W1iaG3ndP7AS3U,Repvblik Band - Tiada Guna Lagi,tiada guna lagi mengharapmu untuk kumiliki takkan ada lagi kesempatanku 'tuk kembali gemuruh cintaku segenggam maafku takkan mungkin bisa menggantikan salahku bagaimana lagi bila itu yang haru terjadi dengan besar hati kan ku terima semua ini kau buat diriku terbunuh cintamu apalah dayaku ini memang salahku oh akankah terulang kembali ... repvblikband indonesianpoprock
74JIPc0VnviO0KEDuGLTzU,Repvblik Band - Aku Dan Perasaan Ini,berulangkali ku yakinkan cinta ini kepadamu yang ku puja selama ini namun teru kau menghancurkan diriku cintaku jiwaku andai kau tau cara yang telah ku tempuh demi mendapatkan utuhnya hatimu sampai sampai ku pertaruhkan diriku ... repvblikband indonesianpoprock
6068Y71e4OrieCSMGDUtg8,Repvblik Band - T'lah Kuberikan,"andaikan dulu 'ku tak pernah mencintaimu mungkin semua 'kan berbeda takkan pernah terjadi kisah kita andaikan dulu kau tak pernah mencintaiku mungkin semua 'kan berbeda takkan pernah 'ku rasakan luka 'ku biarkan semua yang telah terjadi, biarlah, biarlah ... repvblikband indonesianpoprock"
2biv1rfI8kb6LzHbl7Pfey,Repvblik - Aku Tetap Cinta,tak perlu kata maaf dan air mata aku rela dirimu pergi aku bisa tahu apa yang kau mau dengan pilihanmu hancur hancur cintaku sakit sakit hatiku tapi tak bisa aku menyalahkanmu inilah jalanmu inilah nasibku yang tak 'ku suka asal kau tahu seumur hidupku aku tetap cinta ... repvblik indonesianpoprock
1A5Sm22irTKeS5ButMeQ0g,Repvblik Band - Izinkan Aku Mencintaimu,"ga, pat sungguh benar kucintaimu meski kau tak anggapku ada ku tak akan memintamu untuk mencintaiku ku tak berharap kaucintaiku ku tak berharap kaubala cintaku yang kuharap kauizinkan aku mencintaimu ... repvblikband indonesianpoprock"
5TAQJaT0pb7sRZXzjH6dyj,Ghea Youbi - Gak Ada Waktu Beib,"maafkanlah sayang, kembalilah sayang aku masih cinta kepadamu aku lagi bete beib, aku lagi sensi jangan rayu-rayu, aku lagi male pacaran aku lagi ogah beib, aku lagi ilfil gara-gara kamyu, aku lagi male bercinta aku lagi bete beib, aku lagi sensi jangan rayu-rayu, aku lagi male pacaran aku lagi ogah beib, aku lagi ilfil gara-gara kamyu, aku lagi male bercinta kemarin kucinta, kamunya bertingkah kamu tega selingkuh dariku ... gheayoubi dangdutremix"
1beUCLtJdtSKlRF6X3Jiwo,2TikTok - Yank Haus,"kamu ke mana, yank? sama siapa, yank? semalam aku cari kamu tapi nggak ketemu-temu, di mana kamu? yank, yang hau capek nyari kamu puse aku, yank, mikirin kamu kamu gitu lagi sih, yank ... 2tiktok dangdutremix"
1WXK3MedyBZ3ReaYc9znIK,Vita Alvia - Karena Kamu,"kar'na kamu, aku rela menunggu semua sungguh berat yang kurasa kar'na kamu, aku tetap bertahan meskipun kini engkau di peluknya masih mungkinkah semua abadi seperti dahulu? kar'namu, selalu kar'namu, ku cemburu kar'na kamu, aku rela menunggu semua sungguh berat yang kurasa kar'na kamu, aku tetap bertahan meskipun kini engkau di peluknya masih mungkinkah semua abadi seperti dahulu? kar'namu, selalu kar'namu, ku cemburu teruslah melangkah, melupakan dirinya tinggalkan dia untukku sekarang saatnya tunjukkan semua tentang hatimu bahwa akulah yang panta untukmu ... vitaalvia dangdut dangdutkoplo dangdutremix"
3fv9qdWhG0hW05RopGvzAo,Kelud Music - Dj Mabuk Cinta,"bayangkan bila harimu penuh warna itulah yang saat ini kurasakan dia membuat tidurku tak nyenyak dia membuat makan pun tak enak ku terpikat pada kehangatan yang s'lalu dia berikan kurasa ku sedang dimabuk cinta nikmatnya, kini ku dimabuk cinta ... keludmus fvnkyrimex"
2Hw1CJlFd1FAliT4iVraaA,Cita Citata - Goyang Dumang,"sakit rasanya putu cinta sesaknya di dada membuat kita jadi gegana gelisah, galau, merana mendingan kita happi aja lupakan semua marilah kita goyang bersama goyang dumang namanya ayo goyang dumang, biar hati senang pikiran pun tenang, galau jadi hilang ayo goyang dumang, biar hati senang semua masalah jadi hilang ayo goyang dumang, biar hati senang ... citacitata dangdut dangdutremix"
3uqpxtPKgWJogdmmRYcyMM,kobzx2z - SPLEEN,"eh toi, regarde-toi en face dis-moi si tu va bien j'voi te larm qui d�passent eh vou l�, n'ayez craint j'me met de claqu a chaqu foi que j'�cri de text sur toi pourquoi mon coeur est trop lourd pourquoi j'ai besoin de toi �a m'fai mal, et je sai que toi tu en joue de �a �a m'terrifie, de t'imagin dan le bra d'un gar ... kobzx2z speedupturkc"
1oq33HJBs0rDmjjZ2rVFyG,King Promise - Terminator,"killbeatz, let' go oh, ah-ah, oh-ah-nah, oh-ah, ma, yeah oh-ooh, oh oh, ah-ah, oh-ah, ah, oh-ah, ah, yeah yeah i'm at a point in life, if you understand me or not misunderstand me or not me, i'm okay, i'm okay and if you think i'm wrong or not long as it' what i want me, i'm okay, i'm okay 'caus who are you to judg me like say you be holi pass? i dey love my life, get my peac of mind, i dey tri surviv we all be sinners, my paddy, nobodi holi pass and my happi come first i never come life to stress, yeah, yeah ooh-nah, ah, ooh i be like termin i dey deliv i pass doctor ooh-nah, ah, ooh i be like termin i dey deliv ah, i pass doctor ooh-nah, ah, ooh i be like termin i dey deliv (i deliver) i pass doctor ... kingpromis afrobeat ghanaianaltern ghanaianpop"
5uA6PI56MMCAQQDDB4IwoE,kobzx2z - SANS TITRE,"encor une fois, je me retrouv tout seul encor une fois, qui m'a d�truit le c�ur? j'sai pa pourquoi �a recomm assez j'sui peut-�tr bloqu� dan une boucl infini dan une boucl infinie, car j'me voi mourir san toi j'ai de souvenir de maman ... kobzx2z speedupturkc"
0omEqXJvhl55UYvZElNxVu,Arry Harmoko - Sareng,maturnuwun wi gemati karo aku maturnuwun wi nompo kekuranganku ra bakal ono sing ngalahk sliramu ning atiku mung ono siji tresnoku trimo ngalah timbang nambahi masalah kudu nrimo tetep tresno tekan tuo madep mantep atiku milih sliramu kanggo konco uripku janji sehidup semati tak akan ke lain hati ... arryharmoko lagujawa
5xuL74G1vQhSGn7WC3L3QL,Arry Harmoko - Centang Biru,opo kow ra ngroso saiki kow bedo lali karo janjimu sing setyo karo aku aku cen wong sepel ora level e kow kow centang biru followersku ora ono sewu kow kakean endors aku iseh urip ngekost kow uwi panen duit aku iseh mobat mabit ... arryharmoko lagujawa
03vCFyLTKlAXkUti7plxtN,Woro Widowati - Ikhlas Ngenteni,pertama weruh kow esemmu ngelek sak kabehan tansah bungah rasan iso njagong karo kow jebul sandingan konco dew aku we berjuang mati-matian nang ora pernah mbok sawang aku we ngarepk kow tenanan malah mbok gaw dolanan ... worowidowati dangdutkoplo javanesedangdut lagujawa
0LbNvGUhiqxHYBUqhHJIUy,Guyon Waton - Gagal,"(sidan sing menang) (masa lalumu) coba mbiyen awak dhew ra bubaran padha-padha wegah ngerasakn kelangan nang kow ra kuat kena godan wong liya tak kira padha tresnane, ra kaya sing tak bayangk sidan sing menang sing isa ngancani kow mbendina aku sing modal gemati oleh mung dilarani isih kerep melek tekan tengah wengi padah wi raono sing dienteni (dienteni) sing dienteni wi dadi siji karo wong sing dadi pilihan ... guyonwaton dangdut javanesedangdut lagujawa"
1Y0HqJ0WOyfUX5AvvGlQKF,Arry Harmoko - Kudu Satset,"tresno kudu diperjuangk senajan mung nduw opo anan (apa anane) saben wengi ora angler turun mbayangk urip karo kow yakin, ati iki bakal nduweni ora bakal ono sing iso ngganti (sing iso ngganti) esem, ngguyumu ngadhemk ati tulung, tompo tresnoku iki yo wis, ndang sat-set yen pancen wi ngroso mantep teru diperjuangk ben iso oleh atin gerakan kudu cepet ben dalan ora macet ... arryharmoko lagujawa"
31YjCe7pqLWsPtBXXQqVQZ,Woro Widowati - Kalah 2,"ora popo, kabeh iki tak tompo yen kuwi we dadi keputusanmu yen aku kudu kalah aku bakal ngalah sak kalah-kalah tak trima-trimakk ora ono tibo sing ra loro mung mergo kow rung tau ngrasakk yen aku kudu lungo aku wi legowo mergo kabeh iki gari sing kuoso wi pancen dalanku kudu kuat atiku ... worowidowati dangdutkoplo javanesedangdut lagujawa"
2iOgTijjnxjtz7723Xs4sp,Arry Harmoko - Jarkoni 2,mbiyen wi tau janji nang malah mblenjani mbiyen wi tau kondho tresno ra mandang bondho aku gelem nompo kow saiki ning ngendi ora tau ngabari medsosku wi mbok blokiri aku ditingg pergi tanpo basa basi opo mergo kahananku ... arryharmoko lagujawa
6ueq4MrVEcvUwe8E80SPar,Arry Harmoko - Cut Off,ojo ison mung nyalah-nyalahk aku ning kene dianggep sepel nang sepuran sabar ono bates mend tak cut off wae hu-uh-uh saben wayah lambemu turah kebak omongan sing gaw ku kelaran pengen nutup kupe ngrungok barang ra pent kudu tak terimo mergo mbendino aku wi kulino ngrungok dangdutan lagun ma arri ... arryharmoko lagujawa
6WimdTCXBl50mmz6ClwYg1,Denny Caknan - Sekti - Live,"kisah teman saya berniat baik untuk meminang kekasihnya dibatasi oleh orang tua sayang, sawangen rembulan kae sumunar, nyawang aku ro kow sayang, yakina wi ora suw sesandhingan, aku jejer ro kow senajan wong tuwa rung marengk ombak gedh tak sebrangi banjir bandhang tak tatagi pent aku kow isa dadi siji gunung njeblug tak jak ngopi segara geni tak nggo nglangi apa maneh mung ngelawan bapakmu kuwi ... dennycaknan dangdut javanesedangdut lagujawa"
26WgejlZUG6TxLo8djVxUp,Arry Harmoko - Melas,rasah milih aku nek akhir gaw tatu rasah ono roso nek ending ditingg lungo aku wi tenanan kow mung guyonan tibak mung dadi pelarian aku wi kapusan tresnomu sing etok etokan ora pernah nyongko kow tego gaw loro aku wi berjuang untukmu seorang nang balesanmu nglarani atiku ora nyongko ora ngiro dadi cerito loro ... arryharmoko lagujawa
12BUsSyjHbnvmnFw6TObGD,Denny Caknan - Sigar,"sinten sing sambat? kula niki kuwat ning pa we ninggal lunga, wektun mboten tepat lagi bungah-bungah nyawang esemmu wi dikon lali kalih sigaran ati meleka, sayang, aku sing berjuang niba nangi, pontang-p ben ra kurang dengan gampang sampeyan ninggal sayang tanpa mikirk kabeh sing wi berjalan kangen ngingeti caramu mlaku kangen ngingeti caramu nggodha aku tega-tegan saiki ati mbok sigari (masuk lo ki!) ... dennycaknan dangdut javanesedangdut lagujawa"
4mkqoe1yptnwU5S537fYlT,"Denny Caknan - LDR ""Langgeng Dayaning Rasa"" - Live","kagem jenengan-jenengan sing gak tau ketemu yang wong ning uadoh kana wi kerasa kuangen, tapi ra mulih-mulih dc musik! ho-oh-oh, oh hm-mm-mm yen aku wi kangen sliramu mesem ning ngimpiku, sayang yen aku kangen suwaramu bisikna tembang manismu terusa kaya ngene ning uripku terusa sayang aku ra ana sing ngalang-ngalangi ra ana sing ngrusuhi feel ning angenku mung kow sing pale ngerteni aku isa nampa kurang aku, ha-ah-ah senajan mung suwaramu ... dennycaknan dangdut javanesedangdut lagujawa"
2cNjYBMsuNELj4oJjYr0bg,Guyon Waton - Wirang,"sah jam sewela bengi aku mbok tinggalna mbok tolak tanpa sebab sing pasti nglarani aku kadhung sayang kadhung gadhang-gadhang lungamu dadi traumaku ngene men kisah bujangku adhem angin wengi teka ngancani aku kelangan kanca crita jane namung masalah tresna tapi kok ya lara? yen akhir wirang, ben wirang pisan ... guyonwaton dangdut javanesedangdut lagujawa"
7kInuBn9J1a0tXn4hbGJRZ,Masdddho - SAMAR,"aku mung ngene anane, sayang mung wong biasa sing lagi berjuang ngadhepi kahanan ati sing sere kelaran bola-bali mung dinggo dolanan yen ana kurang-kurangku yen ana salah luputku ngomonga teru terang, sayangku aja mok pendhem dhew aja sambat rana-ren aku samar digaw nyaman liyan ... masdddho lagujawa"
6T03CN5UVnCGPz3muqvpOz,Guyon Waton - Gampil,"tak gemateni ngancani sliramu pa kow lagi kelara-lara disiya-siyak karo wong sing tau mbok sayangi ning sandhingku nganti ilang lara ning atimu nganti wi ilang laramu nganti padhang mendhung ning atimu padah aku wi ngerti (aku wi ngerti) isa ngancani, ra isa nduweni mbiyen tak kira gampang ngelalekn sliramu ning njero pikiranku ... guyonwaton dangdut javanesedangdut lagujawa"
6n2jUIcZiyu05rF3fbA5X5,Denny Caknan - Kisinan 1 & 2,"tiwa tak gondh tenanan sayangku wi ora kurang-kurang jebul mung dadi pelampiasan tiwa tak banggakn tak pamer-pamerk jebul aku sing dadi badhut (sakna, sakna) huh (tiwa di-posting-posting) tibak tetep dianggep ora pent kisinan lo (sikat) taun-taunan aku (huh) wi ngancani sliramu wi kadhung kenal karo bapak-ibu wi kebacut nyaman ro sliramu apa kow ra ngerti? (kandhani, ya, dho) apa ra ngrumangsani? yen wi kedaden kaya saiki kudu piy aku? bingung ngadhepi dc musik, sikat, dho! (sikat, yuk, oke) tiwa tak gondh tenanan sayangku wi ora kurang-kurang jebul mung dadi pelampiasan ... dennycaknan dangdut javanesedangdut lagujawa"
5IhULiOyG58jL20qWkztEg,OMWAWES - Dumes,"sepin ro aku, senengmu karo liyan arep cemburu, kok dudu sapa-sapan sing awal perhatian ning akhire, sliramu sing malah ngilang ra pengin liyan penginku siji, mung kow kenyataan dudu aku ning njero atimu isih sok kelingan kabeh kenangan sing tau dilakoni ... omwaw dangdutkoplo javanesedangdut lagujawa"
1ixNEKbIZTTZ5LIz3rr9jD,Jogja Hip Hop Foundation - Cintamu Sepahit Topi Miring,"(yen kecemplung, kadhung trima kow nyampar nyandung) sengkuni leda-led mimpin baris, ngarep dhew eh, barisan menggok sengkuni kok malah ndheprok? nong eh, nong ji, nong ro nong eh, nong ji, nong ro nong eh, nong ji, nong ro nong eh, nong ji, nong ro senja di desa baron matahari tenggelam di dalam kemaron lembu betina lari melompat-lompat dikejar-kejar anaknya yang kecil, meloncat senja lucu dengan kasih sayang ibu dan anak langit senja mengandung sapi beranak terpesona ranto melihat, ia tertawa bergelak dan berubah jadi ranto gudel, sang pelawak dadi marmoyo, di panggung ketoprak ranto gudel, meminum arak terendam di dalam ciu birahinya berubah jadi biru diajaknya nyai dasima bercinta dengan cinta sepahit topi miringnya layar dibuka, turun hujan gembukan dewi mlenuk gembuk datang membawa segul roti cakw marmoyo rebah, tergul tidur di pangkuan nyai dasima yang sekera ciu cangkol, buah dadanya ke mana ranto gudel pergi panggung selalu harum dengan arak yang wangi di sriwedari jadi petruk gareng-nya diajak mabuk bagong-nya menggeloyor semar jualan ciu cangkol dengan terang lampu semprong ... jogjahiphopfound indonesianhiphop"
5KXAm75wLQr1MVtcDtJY0X,Jogja Hip Hop Foundation - Jogja Istimewa,"holopi kuntul bari holopi kuntul bari holopi kuntul bari holopi kuntul bari holopi kuntul bari holopi kuntul bari holopi kuntul bari jogja, jogja, tetap istimewa istimewa negerinya, istimewa orangnya jogja, jogja, tetap istimewa jogja istimewa untuk indonesia rungakna iki gatra saka ngayogyakarta negeri pale penak rasan koyo swarga ora peduli ndunyo dadi neraka ning kene tansah edi peni lan mardika tanah lahirkan tahta, tahta untuk rakyat di mana rajanya bercermin di kalbu rakyat demikianlah singgasana bermartabat berdiri kokoh tuk mengayomi rakyat memayu hayun bawana saka jaman perjuangan nganti merdeka jogja istimewa bukan hanya daerahnya ... jogjahiphopfound indonesianhiphop"
1D6XeGykrjmBAYwDS3yXxZ,NDX A.K.A. - Kimcil Kepolen,"pancen kow pabu, nuruti ibumu jare nek ra ninja, ra oleh dicinta opo koyo ngene susah wong kere? ameh nyand tresno, kalah karo bondo 'ku ngerti sifatmu bedo karo awakku iki ono opo kok kow bedo karo aku iki? opo aku salah nek aku tresno kowe? po pendak dino atimu eneng gelisah? mend aku ro kow koreksi dewe-dew ojo waton tumindak nek kuwi ora becik mergo saiki tresno eneng gor bondo menang rupo, kalah dupo, aku ora popo pancen kow pabu, nuruti ibumu jare nek ra ninja, ra oleh dicinta opo koyo ngene susah wong kere? ... ndxa.k.a. dangdutkoplo javanesedangdut lagujawa"
3YQNAI3ZI2Ss3A9fWXx8jQ,Happy Asmara - Rungkad,"rungkad, entek-entekan kelangan kow sing pale tak sayang stop mencintaimu, gaw aku ngelu heh? sek, stop, stop, stop, stop betul ka kana ta? sepi tapi iki, ngene iki (nge-jazz iki, hap) enggak mau aku jazz, aku maunya (oh, enak, sumpah nge-jazz iki enak) nge-jazz enak? tapi sepi (terus, piy terusan?) tak celukn bestie-ku, ya? (endi?) bestie! wiu-wit! na, manis-mani bestie-ku, ta? (oh, iyo iki) ini ada ma darso, dan ardi, betul? one, two, three, go! (royal music!) mungkin aku terlalu cinta aku terlalu sayang, nganti ra krasa dilarani ... happyasmara dangdutkoplo javanesedangdut lagujawa"
13ST1j3gzTiDPAgnLiJHZT,Yeni Inka - Infone Masseehh Ninu Ninu Ninu - Live,"safari record (infone, mase) ayo lho, mase (aneka music, safari record) nganti ndangak-ndangak, mase aku kalah saksembarangan tru piy infone, mase? kadhung jeru tresnaku ning dheke sing kana good looking, mase (mase) ning kene mung speke wong kere teru aku kudu piye? apa ya kudu cidra selawase? tak suguhi ati, dudu kopi nanging, tega nglarani tak sanggan dhew lamun iki wi ndak kuat, mase ya, ndak mampu aku dudu spek idamanmu nuruti karepmu aku ninu, ninu, ninu (ninu, ninu, ninu) ... yeniinka dangdutkoplo lagujawa"
75OZu8g6qJ3uKSh4n5HeCj,Nella Kharisma - Jaran Goyang,"(wasek, bro) goyang bareng, asek! (dd star record) (uwenak, dhik) nella lovers, stay tune (bintang nusantara) apa salah dan dosaku, sayang? cinta suciku kaubuang-buang lihat juru yang 'kan kuberikan jaran goyang, jaran goyang sayang, janganlah kau waton serem hubungan kita semula adem tapi sekarang kecut, bagaikan asem semar mesem, semar mesem juru yang sangat ampuh, teruji, terpercaya tanpa anjuran dokter, tanpa haru muter-mut cukup siji solusinya, pergi ke mbah dukun saja langsung sambat, ""mbah, saya putu cinta!"" kalau tidak berhasil, pakai juru yang kedua semar mesem namanya, jaran goyang jodohnya cen rada ndagel syarate, pent dilakoni wae ndang dicoba, mesthi hasil terbukti kasiat gejrot dam, du-di-dam, aku padamu i love you, i can't stop love you ... nellakharisma dangdut dangdutkoplo dangdutremix javanesedangdut lagujawa"
3YUdPKq3AIwD1K5HIMCWr1,Zaskia Gotik - Paijo,"paijo, paijo, ditingg ke bojon jaren ra kuat ngragati wedak pupur paijo, paijo, ditingg ke bojon jaren ra kuat ngragati wedak pupur paijo mumet ndase ditingg bojon minggat dadi tkw jare ben akeh duit paijo loro ati disirek bojon jaren ora kuat ngragati wedak pupur jo paijo, opo kow ra karoso sak bendino kow dadi omongan tonggoh jo paijo, opo kow ra isin saben ketemu konco koncomu kabeh mbatin opo mbiyen kow ora kelingan naliko ngucap janji pa dadian jare bakal ngopeni sak lawas ... zaskiagotik dangdut dangdutkoplo dangdutremix"
0x1pt89JYeC7MPZ2JsFCZS,NDX A.K.A. - Nemen HipHop Dangdut Version,"dudu jarak sing gaw awak dhew pisah nang kow neng mburi meneng-meneng gaw kisah ana krupuk dipangan panda remuk, nda pa aku dolan, jebul ketemu kow ning dalan kow konangan gendakan ngomonga, jalukmu piye? tak turutane, tak usahakn aku ra masalah yen kon berjuang dhew sing pent kow bahagia ending nang apa walesanmu ning aku? kow luwih milih deke kow ninggal aku, ninggal tatu kurang apa lehku mertahank kowe? kow malah ngeboti liyan aku kaget ndelok statusmu tangan gandhengan jela udu ro aku sik ngancani kow tahunan janjimu, janji taek, jare arep tekan tuwek ... ndxa.k.a. dangdutkoplo javanesedangdut lagujawa"
2a5MukUF8Wouw1K0EmLBAX,NDX A.K.A. - Bojoku Ketikung,"jangan opo? jangan kangkung temp opo? temp koro ngopo kok bingung? bojoku ditikung popo po ora? aku ra popo aku ra nyongko kow tego karo konco jaren konco kenthel bojoku tok slede tekel opo ra ono kimcil liyo sing seneng kowe? nganti kow nikung bojon koncon dew he, kow koncoku, sing jaren csku nang nyatan ning mburi kok kow koyo pabu mbribik nikung nyiak bojon konco dew ora mikir koncon tumindak sak penak paitan cangkem lunyu kau merebut pacarku tusuk dari belakang, ah, mana ku tau seakan kau arjuna padah engkau keju ra ngango sopan santun kau dustai diriku sak tenan atiku loro nang aku mencoba rapopo ... ndxa.k.a. dangdutkoplo javanesedangdut lagujawa"
