uri,artis_judulLagu,Label
1ZJaJPoS4gDiEJetz3glPt,Grrrl Gang - Thrills,"it wa a hot summer night when we first met i wa onli seventeen your name wa robin and that' all i know i wa danc on my own in the middl of the room when i turn around and you caught my eye there wa noth els that i could realli do but one thing for sure is that i wouldn't be alon you took me to your room and you said that i wa your i call you, ""daddy"" with your arm wrap around my neck ... grrrlgang indonesianindi indonesianindierock yogyakartaindi"
3QUBrTX4mD1yPud2xOFRyP,Grrrl Gang - Dream Grrrl,"she, she' got a mean look give you death glare but she can be your dream girl she can be your dream girl she, she' got a mean streak lose her head at the wrong time she can be your dream girl she can be your dream girl she' a vision of heaven and hell let her be your dream girl she can mesmer you with one glanc let her be your dream girl let her be your dream girl (dream girl) let her be your dream girl (dream girl) she, she' got a mean look ... grrrlgang indonesianindi indonesianindierock yogyakartaindi"
7sz6kwFjYT0asnQGei64vw,Tashoora - Sintas,"sempat waktu berhenti melangkah buta mataku dan hilang arah sirna harapku pada manusia dingin bergulir, mendekap getir kembali lahir, kembali lahir dingin bergulir, mendekap getir belum berakhir, belum berakhir lawan pandang-pandang yang merendahkan bisikan suara yang menjatuhkan kita haru sale menguatkan sudahi sepi dalam perjalanan buka satu dua lagi lembaran kita haru sale menguat sebagian menaruh harapan ... tashoora indonesianindi"
6daxTVyF7Yz5fcJPeEX98h,Zirah - Siapa Kamu?,"oh, ini jiwa ingin dicari oh, ini jiwa taratatara apa yang kau lakukan? apa yang kau berikan? apa yang kau dapatkan? tahukah kamu? apa yang kau rasakan? apa yang kau harapkan? apa yang kau katakan? tahukah kamu? oh, ini jiwa ingin dicari oh, ini jiwa taratatara apa yang kau tinggikan? apa yang kau rendahkan? apa yang kau tengahkan? ... zirah indonesianindierock"
0ikZncbyX0HQFUn77v6xJ7,SCALLER - The Youth,"my world is die befor my veri eye familiar face oh, so far gone buri all the pain that i can't stand see if someon care my world is die everyone, i tell you what there' no surprises, my world is spin for everyone, i'v had enough ... scaller indonesianindi"
014fyvmAi94F1NUXNKiARZ,Sigmun - Prayer of Tempest,see the color of the rain overwhelm your cover gentl giant laid to rest as the night surrend tini whistl of the tree they tri to tell me someth darkest shade of the leav tell me what you'r hide and all the thing that we'v built shan't be brought along and all the thing that we'v lost shall be turn to song ... sigmun indiepsychedelicrock indonesianindi indonesianneo-psychedelia indonesianrock
6bIQDMlSJpws1xL8eXUerk,Chewing Sparkle - Mirage,i sure i saw you on the highway hand on the phone and pick up the line it keep the morn in a heart wave i guess my bodi won't be enough to wake up anoth day without think about it fake laught tomorrow where are you go tonight? will it be bitter to myself? where are you go tonight? where are you go tonight? will it be bitter to myself? where are you go tonight? she said i'm live in the hideway two star away from meet your sign ... chewingsparkl indonesianindierock
1NwKzipXQdwRCSHmUGy25Q,Sajama Cut - Paintings/Pantings,rah! yeah the sun it'll alway shine and thi pictur of your behind you'll be mine for the hundredth and millionth time again pipe down a littl cut down the wall tusk and a fiddl cuss pound to pore fight mean belittl caisson (on) a hors i never care ripe are the liver paint all the wall bite down the littl devil ... sajamacut indonesianindi
4O5yuoPYHs1oU8ioYQTT6p,SMSR - The Sentiment,when i wa an infant kid they have been nurtur me till thi day and the through but past mistak are gone the uncondit love them to you ... smsr indonesianneo-psychedelia
5hk7uLXSKbNhQraDwXIhfq,The Cat Police - What They Do In The Summer,"writer bring their pen to the coffe shop tell all oh the unnecessari thing make their coffe sweeter may the joy be with her what they do in the summer? i onli can guess, such a fun thing what happen to the lovers? they must be loving, take care of each other she' stare at the window reflect her shadow then what els you can do in thi summertime? we'r just make rippl we'r just make rippl what they do in the summer? i onli can guess, such a fun thing what happen to the lovers? they must be loving, take care of each other ... thecatpolic indonesianindi indonesianindierock"
1paPwlZcB4QSKtIeDaymHR,Erratic Moody - Selancar,"lari di pantai, pantai di kuta kupanggil teman-temanku di hari itu siap berlayar bersama paman nelayan ku ambil selancar ke ata sana, aw ... erraticmoodi indonesianindierock"
