judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Merah;Efek Rumah Kaca;Indie Rock Indonesia;1gapJiMx5ZOmFB0mNdIhSQ;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Dan kita arak mereka, bandit jadi panglima Politik terlalu amis, dan kita teramat necis Slalu angkat mereka, sampah jadi pemuka Politik terlalu najis, dan kita teramat miris  Dan kita dorong mereka, badut jadi kepala Politik terlalu kaotis, dan kita teramat praktis Slalu dukung mereka, cendikia jadi pertapa Politik terlalu iblis, dan kita teramat manis  Aku akan menjadi garam di lautan mereka Aku akan menjadi kanker dalam tubuh mereka Aaahhh... Aaahhh...  Sampai kapan kau biarkan, ia tak berdaya Ditelantarkan harapan, ia kesakitan Berurai berantakan, tak karuan Lara dimana-mana  ...
20's;Mond;Indie Rock Indonesia;6FXwGkCBw2TcUeSciRQ4H6;['indonesian neo-psychedelia'];Crazy as it seems Crazy as you and me  We're living in our twenties I can't handle things alone  We cut ties to loosen up We put ties to build up  Thought he was a child With just a few problems Something green can hide For a while Thought he was a child With just a few problems Something green can hide ...
Is It The Answer;Reality Club;Indie Rock Indonesia;5dFLCZFECZMRYICtN31BMg;['indonesian indie'];I make you break You move I take Love is the answer so they say But if I went away What would you say Would it be enough to make you stay As you look to the exit I don't even know why I'd do this anymore I know there's things I should know  And I know you can't accept She's the love that I kept Scared I'll push you away ...
Thrills;Grrrl Gang;Indie Rock Indonesia;1ZJaJPoS4gDiEJetz3glPt;['indonesian indie', 'indonesian indie rock', 'yogyakarta indie'];"It was a hot summer night when we first met I was only seventeen Your name was Robin And that's all I know  I was dancing on my own in the middle of the room When I turned around and you caught my eye There was nothing else that I could really do But one thing for sure is that I wouldn't be alone  You took me to your room And you said that I was yours I called you, ""Daddy"" With your arms wrapped around my neck  ..."
Dream Grrrl;Grrrl Gang;Indie Rock Indonesia;3QUBrTX4mD1yPud2xOFRyP;['indonesian indie', 'indonesian indie rock', 'yogyakarta indie'];She, she's got a mean look Giving you death glares But she can be your dream girl She can be your dream girl  She, she's got a mean streak Losing her head at the wrong times She can be your dream girl She can be your dream girl  She's a vision of heaven and hell Let her be your dream girl She can mesmerize you with one glance Let her be your dream girl Let her be your dream girl (Dream girl) Let her be your dream girl (Dream girl)  She, she's got a mean look ...
Sintas;Tashoora;Indie Rock Indonesia;7sz6kwFjYT0asnQGei64vw;['indonesian indie'];Sempat waktu berhenti melangkah Buta mataku dan hilang arah Sirna harapku pada manusia  Dingin bergulir, mendekap getir Kembali lahir, kembali lahir  Dingin bergulir, mendekap getir Belum berakhir, belum berakhir  Lawan pandang-pandang yang merendahkan Bisikan suara yang menjatuhkan Kita harus saling menguatkan Sudahi sepi dalam perjalanan Buka satu dua lagi lembaran Kita harus saling menguat  Sebagian menaruh harapan ...
Siapa Kamu?;Zirah;Indie Rock Indonesia;6daxTVyF7Yz5fcJPeEX98h;['indonesian indie rock'];Oh, ini jiwa ingin dicari Oh, ini jiwa taratatara  Apa yang kau lakukan? Apa yang kau berikan? Apa yang kau dapatkan? Tahukah kamu?  Apa yang kau rasakan? Apa yang kau harapkan? Apa yang kau katakan? Tahukah kamu?  Oh, ini jiwa ingin dicari Oh, ini jiwa taratatara  Apa yang kau tinggikan? Apa yang kau rendahkan? Apa yang kau tengahkan? ...
The Youth;SCALLER;Indie Rock Indonesia;0ikZncbyX0HQFUn77v6xJ7;['indonesian indie'];My world is dying Before my very eyes Familiar faces Oh, so far gone  Bury all the pain that I can't stand See if someone care My world is dying  Everyone, I tell you what There's no surprises, my world is spinning For everyone, I've had enough ...
Prayer of Tempest;Sigmun;Indie Rock Indonesia;014fyvmAi94F1NUXNKiARZ;['indie psychedelic rock', 'indonesian indie', 'indonesian neo-psychedelia', 'indonesian rock'];See the color of the rain overwhelms your cover Gentle giant laid to rest as the night surrendered Tiny whistles of the trees they tried to tell me something Darkest shades of the leaves tell me what you're hiding  And all the things that we've built shan't be brought along And all the things that we've lost shall be turned to songs ...
Mirage;Chewing Sparkle;Indie Rock Indonesia;6bIQDMlSJpws1xL8eXUerk;['indonesian indie rock'];I sure I saw you on the highway Hand on the phone and picked up the line It keeps the morning in a heart wave I guess my body won't be enough to  Wake up another Day without thinking about it Fake laught tomorrow  Where are you going tonight? Will it be bitter to myself? Where are you going tonight?  Where are you going tonight? Will it be bitter to myself? Where are you going tonight?  She said i'm living in the hideway Two stars away from meeting your signs ...
